a.	a.
A.	a.
a.a.O.	a.a.o.
Abb.	abb.
abds.	abds.
Abf.	abf.
Abg.	abg.
Abk.	abk.
Abs.	abs.
Abschn.	abschn.
Abt.	abt.
abw.	abw.
abzgl.	abzgl.
a.D.	a.d.
Adr.	adr.
akad.	akad.
Akk.	akk.
allg.	allg.
am.	am.
a.M.	a.m.
amtl.	amtl.
Anh.	anh.
Ank.	ank.
Anl.	anl.
Anm.	anm.
Anw.	anw.
a.Rh.	a.rh.
Art.	art.
A.T.	a.t.
Aufl.	aufl.
Aussch.	aussch.
b.	b.
Bd.	bd.
Bde.	bde.
Bed.	bed.
beil.	beil.
bes.	bes.
Best.-Nr.	best.-nr.
Betr.	betr.
bez.	bez.
Bez.	bez.
bezgl.	bezgl.
Bhf.	bhf.
Bl.	bl.
Bln.	bln.
b.w.	b.w.
bz.	bz.
Bz.	bz.
bzf.	bzf.
bzgl.	bzgl.
bzw.	bzw.
ca.	ca.
Cal.	cal.
c.	c.
Chr.	chr.
d.Ä.	d.ä.
Dat.	dat.
d.	d.
dgl.	dgl.
d.h.	d.h.
Di.	di.
Dipl.	dipl.
Dipl.-Ing.	dipl.-ing.
Dipl.-Kfm.	dipl.-kfm.
Dir.	dir.
d.J.	d.j.
Do.	do.
Doz.	doz.
Dr.	dr.
dt.	dt.
Dtzd.	dtzd.
dz.	dz.
e.h.	e.h.
ehem.	ehem.
eigtl.	eigtl.
einschl.	einschl.
entspr.	entspr.
erb.	erb.
erg.	erg.
erw.	erw.
Erw.	erw.
etw.	etw.
ev.	ev.
e.V.	e.v.
evtl.	evtl.
e.Wz.	e.wz.
exkl.	exkl.
Fa.	fa.
Fam.	fam.
f.	f.
ff.	ff.
F.f.	f.f.
Ffm.	ffm.
Forts.f.	forts.f.
Fr.	fr.
Frl.	frl.
frz.	frz.
geb.	geb.
Gebr.	gebr.
gedr.	gedr.
gegr.	gegr.
gek.	gek.
gesch.	gesch.
Ges.	ges.
gest.	gest.
gez.	gez.
ggf.	ggf.
ggfs.	ggfs.
Ggs.	ggs.
Gr.	gr.
habil.	habil.
Hbf.	hbf.
Hd.	hd.
h.	h.
H.	h.
Hptst.	hptst.
Hr.	hr.
i.A.	i.a.
i.b.	i.b.
i.H.	i.h.
i.J.	i.j.
Ing.	ing.
Inh.	inh.
inkl.	inkl.
i.R.	i.r.
i.V.	i.v.
jew.	jew.
Jh.	jh.
jhrl.	jhrl.
jmd.	jmd.
jmdm.	jmdm.
jmdn.	jmdn.
jur.	jur.
k.A.	k.a.
Kal.	kal.
Kap.	kap.
kath.	kath.
kfm.	kfm.
Kfm.	kfm.
kgl.	kgl.
Kl.	kl.
k.o.	k.o.
K.o.	k.o.
Kpt.	kpt.
k.u.k.	k.u.k.
Ldkr.	ldkr.
ld.	ld.
led.	led.
lfd.	lfd.
Lfrg.	lfrg.
lg.	lg.
luth.	luth.
Mag.	mag.
m.a.W.	m.a.w.
Max.	max.
med.	med.
m.E.	m.e.
Mill.	mill.
Mi.	mi.
Min.	min.
Mio.	mio.
m.	m.
möbl.	möbl.
Mo.	mo.
Mrd.	mrd.
mtl.	mtl.
m.W.	m.w.
MwSt.	mwst.
MWSt.	mwst.
nachm.	nachm.
näml.	näml.
nat.	nat.
n.Chr.	n.chr.
n.	n.
N.N.	n.n.
Nr.	nr.
n.u.Z.	n.u.z.
o.A.	o.a.
Obb.	obb.
o.B.	o.b.
od.	od.
o.g.	o.g.
o.	o.
österr.	österr.
p.Adr.	p.adr.
Pfd.	pfd.
pharm.	pharm.
phil.	phil.
Pkt.	pkt.
Pl.	pl.
p.	p.
Prof.	prof.
Prov.	prov.
Quitt.	quitt.
rd.	rd.
Reg.-Bez.	reg.-bez.
Reg.	reg.
Rep.	rep.
resp.	resp.
Rgt.	rgt.
Rhld.	rhld.
r.-k.	r.-k.
r.k.	r.k.
röm.-kath.	röm.-kath.
röm.	röm.
r.	r.
s.a.	s.a.
Sa.	sa.
schles.	schles.
schwäb.	schwäb.
schweiz.	schweiz.
sek.	sek.
Sing.	sing.
sog.	sog.
s.o.	s.o.
So.	so.
soz.	soz.
spez.	spez.
S.	s.
stdl.	stdl.
Std.	std.
stellv.	stellv.
Str.	str.
St.	st.
südd.	südd.
s.u.	s.u.
svw.	svw.
Tab.	tab.
tägl.	tägl.
Tel.	tel.
u.a.m.	u.a.m.
u.a.	u.a.
u.ä.	u.ä.
u.Ä.	u.ä.
u.A.w.g.	u.a.w.g.
übers.	übers.
übertr.	übertr.
übl.	übl.
ugs.	ugs.
Univ.	univ.
urspr.	urspr.
usw.	usw.
u.	u.
u.U.	u.u.
u.v.a.m.	u.v.a.m.
u.v.a	u.v.a
v.Chr.	v.chr.
Verf.	verf.
verh.	verh.
Verl.	verl.
verst.	verst.
verw.	verw.
vet.	vet.
vgl.	vgl.
v.H.	v.h.
v.J.	v.j.
v.M.	v.m.
vorm.	vorm.
Vors.	vors.
v.R.w.	v.r.w.
v.T.	v.t.
v.u.Z.	v.u.z.
v.	v.
V.	v.
Whg.	whg.
Wwe.	wwe.
z.A.	z.a.
z.B.	z.b.
z.Hd.	z.hd.
Ziff.	ziff.
Zi-Whg.	zi-whg.
Zi.	zi.
z.K.	z.k.
z.T.	z.t.
zur.	zur.
zus.	zus.
zw.	zw.
z.	z.
zzgl.	zzgl.
z.Z.	z.z.
