A.C.N.	a.c.n.
all.	all.
ann.	ann.
Ann.	ann.
app.	app.
apr.	apr.
art.	art.
auj.	auj.
av.	av.
bât.	bat.
boul.	boul.
c.a.d.	c.a.d.
c.-à-d.	c.-a-d.
cam.	cam.
chap.	chap.
coll.	coll.
crs.	crs.
ct.	ct.
dir.	dir.
Doct.	doct.
éd.	ed.
e.g.	e.g.
env.	env.
etc.	etc.
É.-U.A.	é.-u.a.
É.-U.	é.-u.
ex.	ex.
fig.	fig.
Fl.	fl.
fr.	fr.
gén.	gén.
G.I.C.	g.i.c.
Me.	me.
Mlle.	mlle.
Mlles.	mlles.
M.	m.
MM.	mm.
ms.	ms.
néerl.	néerl.
N.-É.	n.-e.
par ex.	par ex.
p.ex.	p.ex.
P.-V.	p.-v.
R.A.S.	r.a.s.
resp.	resp.
sec.	sec.
tél.	tel.
u.a.	u.a.
Vlc.	vlc.
V.T.T.	v.t.t.
W.-C.	w.-c.
