A'dam	a'dam
a.j.b.	a.j.b.
a.s.a.p.	a.s.a.p.
a.s.	a.s.
a.u.b.	a.u.b.
bv.	bv.
ca.	ca.
d.m.v.	d.m.v.
d.w.z.	d.w.z.
e.a.	e.a.
e.d.	e.d.
e.e.a.	e.e.a.
enz.	enz.
etc.	etc.
excl.	excl.
incl.	incl.
i.o.v.	i.o.v.
i.p.v.	i.p.v.
i.s.m.	i.s.m.
i.t.t.	i.t.t.
m.a.w.	m.a.w.
m.b.t.	m.b.t.
m.i.v.	m.i.v.
m.m.v.	m.m.v.
m.n.	m.n.
m.u.v.	m.u.v.
n.a.v.	n.a.v.
nl.	nl.
n.m.-	n.m.-
n.n.b.	n.n.b.
nr.	nr.
n.t.b.	n.t.b.
o.a.	o.a.
ong.	ong.
p.p.	p.p.
p.s	p.s
ref.	ref.
resp.	resp.
s.v.p.	s.v.p.
t.a.v.	t.a.v.
t.b.v.	t.b.v.
t.g.v.	t.g.v.
t/m	t/m
t.n.v.	t.n.v.
t.o.v.	t.o.v.
vlg.	vlg.
vnl.	vnl.
v.v.	v.v.
zgn.	zgn.
z.s.m.	z.s.m.
