A.	a.
ä.	ä.
a.a.	a.a.
abl.	abl.
abs.	abs.
abstr.	abstr.
ack.	ack.
A.D.	a.d.
adj.	adj.
adr.	adr.
adv.	adv.
akt.	akt.
Äkt.	äkt.
alban.	alban.
amerik. eng.	amerik. eng.
ang.	ang.
Ångermanl.	ångermanl.
anglofr.	anglofr.
änkl.	änkl.
anm.	anm.
anv.	anv.
arab.	arab.
aram.	aram.
arb.	arb.
årh.	årh.
armen.	armen.
art.	art.
assyr.	assyr.
åtm.	åtm.
äv.	äv.
avest.	avest.
avledn.	avledn.
avljudsförh.	avljudsförh.
babyl.	babyl.
bag.	bag.
baltoslav.	baltoslav.
b.	b.
best.	best.
bet.	bet.
bibet.	bibet.
bildl.	bildl.
bl. a.	bl. a.
bl.a.	bl.a.
bl.	bl.
Blek.	blek.
Bohusl.	bohusl.
Bornh.	bornh.
br.	br.
bret.	bret.
bulg.	bulg.
ca.	ca.
c.	c.
d.ä.	d.ä.
Dalsl.	dalsl.
dan.	dan.
dat.	dat.
d.b.	d.b.
d.	d.
dekl.	dekl.
demonstr.	demonstr.
dep.	dep.
determ.	determ.
dets.	dets.
dial.	dial.
dimin.	dimin.
doc.	doc.
d. o.	d. o.
dr.	dr.
dual.	dual.
d.v.s.	d.v.s.
dvs.	dvs.
d.y.	d.y.
e.d.	e.d.
E.	e.
eg.	eg.
Eg. Finl.	eg. finl.
egypt.	egypt.
ekon.	ekon.
e.Kr.	e.kr.
el.	el.
em.	em.
eng.	eng.
Engl.	engl.
enl.	enl.
e.o.	e.o.
Estl.	estl.
estn.	estn.
etc.	etc.
ev.	ev.
fackspr.	fackspr.
fam.	fam.
fär.	fär.
färg.	färg.
farm.	farm.
fast.	fast.
fdan.	fdan.
f. d.	f. d.
f.d.	f.d.
fd.	fd.
fem.	fem.
feng.	feng.
fenic.	fenic.
f.	f.
ff.	ff.
ffr.	ffr.
ffris.	ffris.
fgutn.	fgutn.
fht.	fht.
fi.	fi.
fig.	fig.
fil.	fil.
find.	find.
fin.	fin.
Finl.	finl.
fir.	fir.
fisl.	fisl.
f.Kr.	f.kr.
fkyrkslav.	fkyrkslav.
flat.	flat.
flfran.	flfran.
flfrank.	flfrank.
fm.	fm.
fnor.	fnor.
förb.	förb.
förf.	förf.
förh.	förh.
formavd.	formavd.
forts.	forts.
fpers.	fpers.
fpreuss.	fpreuss.
frank.	frank.
fr.	fr.
fris.	fris.
fr.o.m.	fr.o.m.
fry.	fry.
fsax.	fsax.
fslav.	fslav.
fsv.	fsv.
fut.	fut.
fvn.	fvn.
gael.	gael.
gall.	gall.
Gästrikl.	gästrikl.
gen.	gen.
georg.	georg.
germ.	germ.
G.	g.
Götal.	götal.
got.	got.
Gotl.	gotl.
gram.	gram.
grek.	grek.
gr.	gr.
grönl.	grönl.
grundbet.	grundbet.
Hall.	hall.
Hälsingl.	hälsingl.
hänv.	hänv.
Härjed.	härjed.
hebr.	hebr.
hett.	hett.
h.	h.
hind.	hind.
hindost.	hindost.
holl.	holl.
hskr.	hskr.
huvudmom.	huvudmom.
ib.	ib.
ibid.	ibid.
ieur.	ieur.
ig.	ig.
imper.	imper.
indianspr.	indianspr.
ind.	ind.
inf.-förb.	inf.-förb.
inf.	inf.
innehållsobj.	innehållsobj.
intensivbildn.	intensivbildn.
interj.	interj.
interr.	interr.
intr.	intr.
inuit.	inuit.
i.o.m.	i.o.m.
ipf.	ipf.
ir.	ir.
irl.	irl.
isl.	isl.
i st. f.	i st. f.
ital.	ital.
it.	it.
Jämtl.	jämtl.
jap.	jap.
J.	j.
jordbr.	jordbr.
Jyll.	jyll.
kelt.	kelt.
kines.	kines.
K.	k.
koll.	koll.
komp.	komp.
konj.	konj.
kons.	kons.
korn.	korn.
kymr.	kymr.
kyrkolat.	kyrkolat.
kyrkslav.	kyrkslav.
lap.	lap.
lapp.	lapp.
Lappl.	lappl.
lat.	lat.
l. dyl.	l. dyl.
lett.	lett.
lit.	lit.
l.	l.
lt.	lt.
mag.	mag.
mån.	mån.
mask.	mask.
Medelp.	medelp.
med.	med.
meng.	meng.
m. fl.	m. fl.
m.fl.	m.fl.
mfr.	mfr.
mholl.	mholl.
mht.	mht.
min.	min.
mlat.	mlat.
mlt.	mlt.
m.	m.
m. m.	m. m.
m.m.	m.m.
mnl.	mnl.
mnt.	mnt.
moes.	moes.
möjl.	möjl.
mom.	mom.
motsv.	motsv.
m.p.	m.p.
m.v.h.	m.v.h.
näml.	näml.
n.b.	n.b.
N.B.	n.b.
neutr.	neutr.
nfris.	nfris.
nht.	nht.
nl.	nl.
n.	n.
nn.	nn.
nom.	nom.
no.	no.
nor. bm.	nor. bm.
nordamerik.	nordamerik.
nor.	nor.
Norrb.	norrb.
Norrl.	norrl.
ns.	ns.
nt.	nt.
nyfris.	nyfris.
nygr.	nygr.
nyheb.	nyheb.
nyisl.	nyisl.
Nyl.	nyl.
nysv.	nysv.
ö.a.	ö.a.
obest.	obest.
obj.	obj.
obl.	obl.
oböjl.	oböjl.
obr.	obr.
obs!	obs!
obs.	obs.
o. d.	o. d.
o.d.	o.d.
o. dyl.	o. dyl.
o.dyl.	o.dyl.
oeg.	oeg.
ö.g.	ö.g.
ö.h.	ö.h.
o.k.s.	o.k.s.
omkr.	omkr.
o.m.s.	o.m.s.
o.	o.
O.	o.
op. cit.	op. cit.
opers.	opers.
op.	op.
opt.	opt.
ordf.	ordf.
ordspr.	ordspr.
org.nr	org.nr
orig.	orig.
osk.	osk.
osset.	osset.
Österb.	österb.
Östergötl.	östergötl.
Östersjöprov.	östersjöprov.
o.s.v.	o.s.v.
osv.	osv.
övers.	övers.
p. adj.	p. adj.
participbildn.	participbildn.
pass.	pass.
personobj.	personobj.
personsubj.	personsubj.
